"Tabela 6588 - Série histórica da estimativa anual da área plantada, área colhida, produção e rendimento médio dos produtos das lavouras"
"Variável - Área colhida (Hectares)"
"março 2018","Brasil","1.15 Soja","114525973"
"abril 2018","Brasil","1.15 Soja","115617772"
"maio 2018","Brasil","1.15 Soja","115752047"
"junho 2018","Brasil","1.15 Soja","116309308"
"julho 2018","Brasil","1.15 Soja","116405751"
"agosto 2018","Brasil","1.15 Soja","116768024"
"setembro 2018","Brasil","1.15 Soja","117255703"
"outubro 2018","Brasil","1.15 Soja","117737831"
"novembro 2018","Brasil","1.15 Soja","117927506"
"dezembro 2018","Brasil","1.15 Soja","117833492"
"janeiro 2019","Brasil","1.15 Soja","114721472"
"fevereiro 2019","Brasil","1.15 Soja","113393434"
"março 2019","Brasil","1.15 Soja","112516470"
"abril 2019","Brasil","1.15 Soja","112605157"
"maio 2019","Brasil","1.15 Soja","112474505"
"junho 2019","Brasil","1.15 Soja","112546649"
"julho 2019","Brasil","1.15 Soja","113150491"
"agosto 2019","Brasil","1.15 Soja","113194339"
"setembro 2019","Brasil","1.15 Soja","112823827"
"outubro 2019","Brasil","1.15 Soja","113018142"
"novembro 2019","Brasil","1.15 Soja","113168021"
"dezembro 2019","Brasil","1.15 Soja","113488489"
"janeiro 2020","Brasil","1.15 Soja","123340208"
"fevereiro 2020","Brasil","1.15 Soja","125235188"
"março 2020","Brasil","1.15 Soja","120722412"
"abril 2020","Brasil","1.15 Soja","121044411"
"maio 2020","Brasil","1.15 Soja","119352169"
"junho 2020","Brasil","1.15 Soja","119899492"
"julho 2020","Brasil","1.15 Soja","120130863"
"agosto 2020","Brasil","1.15 Soja","120969074"
"Fonte: IBGE - Levantamento Sistemático da Produção Agrícola"

"Notas"
"1 - Para as Unidades da Federação que, por força do calendário agrícola, ainda não dispõem das estimativas iniciais, os dados correspondem a uma projeção obtida a partir das informações de anos anteriores;"
"2 - As produções de abacaxi e de coco-da-baía são expressas em mil frutos e os seus rendimentos médios em frutos/ha."
