"Tabela 283 - Produção vegetal e Área colhida dos estabelecimentos agropecuários por tipo de produção vegetal - série histórica (1920/2006)"
"Ano","region","Variável","Valor"
"1950","Paraíba","Área colhida (Hectares)","..."
"1950","Pernambuco","Produção vegetal (Toneladas)","..."
"1950","Pernambuco","Área colhida (Hectares)","..."
"1950","Alagoas","Produção vegetal (Toneladas)","..."
"1950","Alagoas","Área colhida (Hectares)","..."
"1950","Sergipe","Produção vegetal (Toneladas)","..."
"1950","Sergipe","Área colhida (Hectares)","..."
"1950","Bahia","Produção vegetal (Toneladas)","..."
"1950","Bahia","Área colhida (Hectares)","..."
"1950","Minas Gerais","Produção vegetal (Toneladas)","..."
"1950","Minas Gerais","Área colhida (Hectares)","..."
"1950","Espírito Santo","Produção vegetal (Toneladas)","..."
"1950","Espírito Santo","Área colhida (Hectares)","..."
"1950","Rio de Janeiro","Produção vegetal (Toneladas)","..."
"1950","Rio de Janeiro","Área colhida (Hectares)","..."
"1950","São Paulo","Produção vegetal (Toneladas)","..."
"1950","São Paulo","Área colhida (Hectares)","..."
"1950","Paraná","Produção vegetal (Toneladas)","..."
"1950","Paraná","Área colhida (Hectares)","..."
"1950","Santa Catarina","Produção vegetal (Toneladas)","..."
"1950","Santa Catarina","Área colhida (Hectares)","..."
"1950","Rio Grande do Sul","Produção vegetal (Toneladas)","..."
"1950","Rio Grande do Sul","Área colhida (Hectares)","..."
"1950","Mato Grosso do Sul","Produção vegetal (Toneladas)","..."
"1950","Mato Grosso do Sul","Área colhida (Hectares)","..."
"1950","Mato Grosso","Produção vegetal (Toneladas)","..."
"1950","Mato Grosso","Área colhida (Hectares)","..."
"1950","Goiás","Produção vegetal (Toneladas)","..."
"1950","Goiás","Área colhida (Hectares)","..."
"1950","Distrito Federal","Produção vegetal (Toneladas)","..."
"1950","Distrito Federal","Área colhida (Hectares)","..."
"1960","Rondônia","Produção vegetal (Toneladas)","..."
"1960","Rondônia","Área colhida (Hectares)","..."
"1960","Acre","Produção vegetal (Toneladas)","..."
"1960","Acre","Área colhida (Hectares)","..."
"1960","Amazonas","Produção vegetal (Toneladas)","..."
"1960","Amazonas","Área colhida (Hectares)","..."
"1960","Roraima","Produção vegetal (Toneladas)","..."
"1960","Roraima","Área colhida (Hectares)","..."
"1960","Pará","Produção vegetal (Toneladas)","..."
"1960","Pará","Área colhida (Hectares)","..."
"1960","Amapá","Produção vegetal (Toneladas)","..."
"1960","Amapá","Área colhida (Hectares)","..."
"1960","Tocantins","Produção vegetal (Toneladas)","..."
"1960","Tocantins","Área colhida (Hectares)","..."
"1960","Maranhão","Produção vegetal (Toneladas)","..."
"1960","Maranhão","Área colhida (Hectares)","..."
"1960","Piauí","Produção vegetal (Toneladas)","..."
"1960","Piauí","Área colhida (Hectares)","..."
"1960","Ceará","Produção vegetal (Toneladas)","..."
"1960","Ceará","Área colhida (Hectares)","..."
"1960","Rio Grande do Norte","Produção vegetal (Toneladas)","..."
"1960","Rio Grande do Norte","Área colhida (Hectares)","..."
"1960","Paraíba","Produção vegetal (Toneladas)","..."
"1960","Paraíba","Área colhida (Hectares)","..."
"1960","Pernambuco","Produção vegetal (Toneladas)","..."
"1960","Pernambuco","Área colhida (Hectares)","..."
"1960","Alagoas","Produção vegetal (Toneladas)","..."
"1960","Alagoas","Área colhida (Hectares)","..."
"1960","Sergipe","Produção vegetal (Toneladas)","..."
"1960","Sergipe","Área colhida (Hectares)","..."
"1960","Bahia","Produção vegetal (Toneladas)","..."
"1960","Bahia","Área colhida (Hectares)","..."
"1960","Minas Gerais","Produção vegetal (Toneladas)","..."
"1960","Minas Gerais","Área colhida (Hectares)","..."
"1960","Espírito Santo","Produção vegetal (Toneladas)","..."
"1960","Espírito Santo","Área colhida (Hectares)","..."
"1960","Rio de Janeiro","Produção vegetal (Toneladas)","..."
"1960","Rio de Janeiro","Área colhida (Hectares)","..."
"1960","São Paulo","Produção vegetal (Toneladas)","..."
"1960","São Paulo","Área colhida (Hectares)","..."
"1960","Paraná","Produção vegetal (Toneladas)","..."
"1960","Paraná","Área colhida (Hectares)","..."
"1960","Santa Catarina","Produção vegetal (Toneladas)","..."
"1960","Santa Catarina","Área colhida (Hectares)","..."
"1960","Rio Grande do Sul","Produção vegetal (Toneladas)","..."
"1960","Rio Grande do Sul","Área colhida (Hectares)","..."
"1960","Mato Grosso do Sul","Produção vegetal (Toneladas)","..."
"1960","Mato Grosso do Sul","Área colhida (Hectares)","..."
"1960","Mato Grosso","Produção vegetal (Toneladas)","..."
"1960","Mato Grosso","Área colhida (Hectares)","..."
"1960","Goiás","Produção vegetal (Toneladas)","..."
"1960","Goiás","Área colhida (Hectares)","..."
"1960","Distrito Federal","Produção vegetal (Toneladas)","..."
"1960","Distrito Federal","Área colhida (Hectares)","..."
"1970","Rondônia","Produção vegetal (Toneladas)","0"
"1970","Rondônia","Área colhida (Hectares)","1"
"1970","Acre","Produção vegetal (Toneladas)","-"
"1970","Acre","Área colhida (Hectares)","-"
"1970","Amazonas","Produção vegetal (Toneladas)","0"
"1970","Amazonas","Área colhida (Hectares)","1"
"1970","Roraima","Produção vegetal (Toneladas)","-"
"1970","Roraima","Área colhida (Hectares)","-"
"1970","Pará","Produção vegetal (Toneladas)","1"
"1970","Pará","Área colhida (Hectares)","6"
"1970","Amapá","Produção vegetal (Toneladas)","-"
"1970","Amapá","Área colhida (Hectares)","-"
"1970","Tocantins","Produção vegetal (Toneladas)","..."
"1970","Tocantins","Área colhida (Hectares)","..."
"1970","Maranhão","Produção vegetal (Toneladas)","0"
"1970","Maranhão","Área colhida (Hectares)","1"
"1970","Piauí","Produção vegetal (Toneladas)","0"
"1970","Piauí","Área colhida (Hectares)","1"
"1970","Ceará","Produção vegetal (Toneladas)","0"
"1970","Ceará","Área colhida (Hectares)","2"
"1970","Rio Grande do Norte","Produção vegetal (Toneladas)","-"
"1970","Rio Grande do Norte","Área colhida (Hectares)","-"
"1970","Paraíba","Produção vegetal (Toneladas)","1"
"1970","Paraíba","Área colhida (Hectares)","1"
"1970","Pernambuco","Produção vegetal (Toneladas)","2"
"1970","Pernambuco","Área colhida (Hectares)","3"
"1970","Alagoas","Produção vegetal (Toneladas)","0"
"1970","Alagoas","Área colhida (Hectares)","2"
"1970","Sergipe","Produção vegetal (Toneladas)","-"
"1970","Sergipe","Área colhida (Hectares)","-"
"1970","Bahia","Produção vegetal (Toneladas)","19"
"1970","Bahia","Área colhida (Hectares)","51"
"1970","Minas Gerais","Produção vegetal (Toneladas)","2392"
"1970","Minas Gerais","Área colhida (Hectares)","3347"
"1970","Espírito Santo","Produção vegetal (Toneladas)","1"
"1970","Espírito Santo","Área colhida (Hectares)","3"
"1970","Rio de Janeiro","Produção vegetal (Toneladas)","14"
"1970","Rio de Janeiro","Área colhida (Hectares)","29"
"1970","São Paulo","Produção vegetal (Toneladas)","92317"
"1970","São Paulo","Área colhida (Hectares)","69423"
"1970","Paraná","Produção vegetal (Toneladas)","411642"
"1970","Paraná","Área colhida (Hectares)","395484"
"1970","Santa Catarina","Produção vegetal (Toneladas)","58121"
"1970","Santa Catarina","Área colhida (Hectares)","90633"
"1970","Rio Grande do Sul","Produção vegetal (Toneladas)","1295149"
"1970","Rio Grande do Sul","Área colhida (Hectares)","1600131"
"1970","Mato Grosso do Sul","Produção vegetal (Toneladas)","..."
"1970","Mato Grosso do Sul","Área colhida (Hectares)","..."
"1970","Mato Grosso","Produção vegetal (Toneladas)","14347"
"1970","Mato Grosso","Área colhida (Hectares)","15196"
"1970","Goiás","Produção vegetal (Toneladas)","10219"
"1970","Goiás","Área colhida (Hectares)","11514"
