"Tabela 6588 - Série histórica da estimativa anual da área plantada, área colhida, produção e rendimento médio dos produtos das lavouras"
"Mês","region","Variável","Valor"
"julho 2008","Bahia","Produção (Toneladas)","2747634"
"julho 2008","Minas Gerais","Área colhida (Hectares)","865567"
"julho 2008","Minas Gerais","Produção (Toneladas)","2537890"
"julho 2008","Espírito Santo","Área colhida (Hectares)","-"
"julho 2008","Espírito Santo","Produção (Toneladas)","-"
"julho 2008","Rio de Janeiro","Área colhida (Hectares)","-"
"julho 2008","Rio de Janeiro","Produção (Toneladas)","-"
"julho 2008","São Paulo","Área colhida (Hectares)","526000"
"julho 2008","São Paulo","Produção (Toneladas)","1446500"
"julho 2008","Paraná","Área colhida (Hectares)","3977193"
"julho 2008","Paraná","Produção (Toneladas)","11897214"
"julho 2008","Santa Catarina","Área colhida (Hectares)","373000"
"julho 2008","Santa Catarina","Produção (Toneladas)","945555"
"julho 2008","Rio Grande do Sul","Área colhida (Hectares)","3833000"
"julho 2008","Rio Grande do Sul","Produção (Toneladas)","7773324"
"julho 2008","Mato Grosso do Sul","Área colhida (Hectares)","1731366"
"julho 2008","Mato Grosso do Sul","Produção (Toneladas)","4569461"
"julho 2008","Mato Grosso","Área colhida (Hectares)","5696215"
"julho 2008","Mato Grosso","Produção (Toneladas)","17882377"
"julho 2008","Goiás","Área colhida (Hectares)","2179080"
"julho 2008","Goiás","Produção (Toneladas)","6600259"
"julho 2008","Distrito Federal","Área colhida (Hectares)","48712"
"julho 2008","Distrito Federal","Produção (Toneladas)","153443"
"agosto 2008","Rondônia","Área colhida (Hectares)","99206"
"agosto 2008","Rondônia","Produção (Toneladas)","311502"
"agosto 2008","Acre","Área colhida (Hectares)","-"
"agosto 2008","Acre","Produção (Toneladas)","-"
"agosto 2008","Amazonas","Área colhida (Hectares)","-"
"agosto 2008","Amazonas","Produção (Toneladas)","-"
"agosto 2008","Roraima","Área colhida (Hectares)","-"
"agosto 2008","Roraima","Produção (Toneladas)","-"
"agosto 2008","Pará","Área colhida (Hectares)","70776"
"agosto 2008","Pará","Produção (Toneladas)","201111"
"agosto 2008","Amapá","Área colhida (Hectares)","-"
"agosto 2008","Amapá","Produção (Toneladas)","-"
"agosto 2008","Tocantins","Área colhida (Hectares)","328608"
"agosto 2008","Tocantins","Produção (Toneladas)","902949"
"agosto 2008","Maranhão","Área colhida (Hectares)","421470"
"agosto 2008","Maranhão","Produção (Toneladas)","1262560"
"agosto 2008","Piauí","Área colhida (Hectares)","253566"
"agosto 2008","Piauí","Produção (Toneladas)","819258"
"agosto 2008","Ceará","Área colhida (Hectares)","-"
"agosto 2008","Ceará","Produção (Toneladas)","-"
"agosto 2008","Rio Grande do Norte","Área colhida (Hectares)","-"
"agosto 2008","Rio Grande do Norte","Produção (Toneladas)","-"
"agosto 2008","Paraíba","Área colhida (Hectares)","-"
"agosto 2008","Paraíba","Produção (Toneladas)","-"
"agosto 2008","Pernambuco","Área colhida (Hectares)","-"
"agosto 2008","Pernambuco","Produção (Toneladas)","-"
"agosto 2008","Alagoas","Área colhida (Hectares)","-"
"agosto 2008","Alagoas","Produção (Toneladas)","-"
"agosto 2008","Sergipe","Área colhida (Hectares)","-"
"agosto 2008","Sergipe","Produção (Toneladas)","-"
"agosto 2008","Bahia","Área colhida (Hectares)","905018"
"agosto 2008","Bahia","Produção (Toneladas)","2747634"
"agosto 2008","Minas Gerais","Área colhida (Hectares)","865617"
"agosto 2008","Minas Gerais","Produção (Toneladas)","2536936"
"agosto 2008","Espírito Santo","Área colhida (Hectares)","-"
"agosto 2008","Espírito Santo","Produção (Toneladas)","-"
"agosto 2008","Rio de Janeiro","Área colhida (Hectares)","-"
"agosto 2008","Rio de Janeiro","Produção (Toneladas)","-"
"agosto 2008","São Paulo","Área colhida (Hectares)","526000"
"agosto 2008","São Paulo","Produção (Toneladas)","1446500"
"agosto 2008","Paraná","Área colhida (Hectares)","3977193"
"agosto 2008","Paraná","Produção (Toneladas)","11897214"
"agosto 2008","Santa Catarina","Área colhida (Hectares)","373358"
"agosto 2008","Santa Catarina","Produção (Toneladas)","946463"
"agosto 2008","Rio Grande do Sul","Área colhida (Hectares)","3833000"
"agosto 2008","Rio Grande do Sul","Produção (Toneladas)","7773324"
"agosto 2008","Mato Grosso do Sul","Área colhida (Hectares)","1731376"
"agosto 2008","Mato Grosso do Sul","Produção (Toneladas)","4570771"
"agosto 2008","Mato Grosso","Área colhida (Hectares)","5696215"
"agosto 2008","Mato Grosso","Produção (Toneladas)","17882377"
"agosto 2008","Goiás","Área colhida (Hectares)","2179880"
"agosto 2008","Goiás","Produção (Toneladas)","6543259"
"agosto 2008","Distrito Federal","Área colhida (Hectares)","48712"
"agosto 2008","Distrito Federal","Produção (Toneladas)","153443"
"setembro 2008","Rondônia","Área colhida (Hectares)","99206"
"setembro 2008","Rondônia","Produção (Toneladas)","311502"
"setembro 2008","Acre","Área colhida (Hectares)","-"
"setembro 2008","Acre","Produção (Toneladas)","-"
"setembro 2008","Amazonas","Área colhida (Hectares)","-"
"setembro 2008","Amazonas","Produção (Toneladas)","-"
"setembro 2008","Roraima","Área colhida (Hectares)","-"
"setembro 2008","Roraima","Produção (Toneladas)","-"
"setembro 2008","Pará","Área colhida (Hectares)","70776"
"setembro 2008","Pará","Produção (Toneladas)","201111"
"setembro 2008","Amapá","Área colhida (Hectares)","-"
"setembro 2008","Amapá","Produção (Toneladas)","-"
"setembro 2008","Tocantins","Área colhida (Hectares)","328608"
"setembro 2008","Tocantins","Produção (Toneladas)","902949"
"setembro 2008","Maranhão","Área colhida (Hectares)","421470"
"setembro 2008","Maranhão","Produção (Toneladas)","1262560"
"setembro 2008","Piauí","Área colhida (Hectares)","253566"
"setembro 2008","Piauí","Produção (Toneladas)","819258"
"setembro 2008","Ceará","Área colhida (Hectares)","-"
"setembro 2008","Ceará","Produção (Toneladas)","-"
"setembro 2008","Rio Grande do Norte","Área colhida (Hectares)","-"
"setembro 2008","Rio Grande do Norte","Produção (Toneladas)","-"
"setembro 2008","Paraíba","Área colhida (Hectares)","-"
"setembro 2008","Paraíba","Produção (Toneladas)","-"
"setembro 2008","Pernambuco","Área colhida (Hectares)","-"
"setembro 2008","Pernambuco","Produção (Toneladas)","-"
"setembro 2008","Alagoas","Área colhida (Hectares)","-"
"setembro 2008","Alagoas","Produção (Toneladas)","-"
"setembro 2008","Sergipe","Área colhida (Hectares)","-"
"setembro 2008","Sergipe","Produção (Toneladas)","-"
"setembro 2008","Bahia","Área colhida (Hectares)","905018"
"setembro 2008","Bahia","Produção (Toneladas)","2747634"
"setembro 2008","Minas Gerais","Área colhida (Hectares)","865622"
"setembro 2008","Minas Gerais","Produção (Toneladas)","2538030"
"setembro 2008","Espírito Santo","Área colhida (Hectares)","-"
"setembro 2008","Espírito Santo","Produção (Toneladas)","-"
"setembro 2008","Rio de Janeiro","Área colhida (Hectares)","-"
"setembro 2008","Rio de Janeiro","Produção (Toneladas)","-"
"setembro 2008","São Paulo","Área colhida (Hectares)","526000"
"setembro 2008","São Paulo","Produção (Toneladas)","1446500"
"setembro 2008","Paraná","Área colhida (Hectares)","3977193"
"setembro 2008","Paraná","Produção (Toneladas)","11897214"
"setembro 2008","Santa Catarina","Área colhida (Hectares)","373358"
"setembro 2008","Santa Catarina","Produção (Toneladas)","946463"
"setembro 2008","Rio Grande do Sul","Área colhida (Hectares)","3833000"
"setembro 2008","Rio Grande do Sul","Produção (Toneladas)","7773324"
"setembro 2008","Mato Grosso do Sul","Área colhida (Hectares)","1731376"
"setembro 2008","Mato Grosso do Sul","Produção (Toneladas)","4570771"
"setembro 2008","Mato Grosso","Área colhida (Hectares)","5662587"
"setembro 2008","Mato Grosso","Produção (Toneladas)","17811403"
"setembro 2008","Goiás","Área colhida (Hectares)","2179880"
"setembro 2008","Goiás","Produção (Toneladas)","6543259"
"setembro 2008","Distrito Federal","Área colhida (Hectares)","48712"
"setembro 2008","Distrito Federal","Produção (Toneladas)","153443"
"outubro 2008","Rondônia","Área colhida (Hectares)","99206"
"outubro 2008","Rondônia","Produção (Toneladas)","311502"
"outubro 2008","Acre","Área colhida (Hectares)","-"
"outubro 2008","Acre","Produção (Toneladas)","-"
"outubro 2008","Amazonas","Área colhida (Hectares)","-"
"outubro 2008","Amazonas","Produção (Toneladas)","-"
"outubro 2008","Roraima","Área colhida (Hectares)","-"
"outubro 2008","Roraima","Produção (Toneladas)","-"
"outubro 2008","Pará","Área colhida (Hectares)","70776"
"outubro 2008","Pará","Produção (Toneladas)","201111"
"outubro 2008","Amapá","Área colhida (Hectares)","-"
"outubro 2008","Amapá","Produção (Toneladas)","-"
"outubro 2008","Tocantins","Área colhida (Hectares)","328608"
"outubro 2008","Tocantins","Produção (Toneladas)","902949"
"outubro 2008","Maranhão","Área colhida (Hectares)","421470"
"outubro 2008","Maranhão","Produção (Toneladas)","1262560"
"outubro 2008","Piauí","Área colhida (Hectares)","253566"
"outubro 2008","Piauí","Produção (Toneladas)","819258"
"outubro 2008","Ceará","Área colhida (Hectares)","-"
"outubro 2008","Ceará","Produção (Toneladas)","-"
"outubro 2008","Rio Grande do Norte","Área colhida (Hectares)","-"
"outubro 2008","Rio Grande do Norte","Produção (Toneladas)","-"
"outubro 2008","Paraíba","Área colhida (Hectares)","-"
"outubro 2008","Paraíba","Produção (Toneladas)","-"
"outubro 2008","Pernambuco","Área colhida (Hectares)","-"
"outubro 2008","Pernambuco","Produção (Toneladas)","-"
"outubro 2008","Alagoas","Área colhida (Hectares)","-"
"outubro 2008","Alagoas","Produção (Toneladas)","-"
"outubro 2008","Sergipe","Área colhida (Hectares)","-"
"outubro 2008","Sergipe","Produção (Toneladas)","-"
"outubro 2008","Bahia","Área colhida (Hectares)","905018"
"outubro 2008","Bahia","Produção (Toneladas)","2747634"
"outubro 2008","Minas Gerais","Área colhida (Hectares)","865622"
"outubro 2008","Minas Gerais","Produção (Toneladas)","2536230"
"outubro 2008","Espírito Santo","Área colhida (Hectares)","-"
"outubro 2008","Espírito Santo","Produção (Toneladas)","-"
"outubro 2008","Rio de Janeiro","Área colhida (Hectares)","-"
"outubro 2008","Rio de Janeiro","Produção (Toneladas)","-"
"outubro 2008","São Paulo","Área colhida (Hectares)","526000"
"outubro 2008","São Paulo","Produção (Toneladas)","1446500"
"outubro 2008","Paraná","Área colhida (Hectares)","3977193"
"outubro 2008","Paraná","Produção (Toneladas)","11897214"
"outubro 2008","Santa Catarina","Área colhida (Hectares)","373358"
"outubro 2008","Santa Catarina","Produção (Toneladas)","946463"
"outubro 2008","Rio Grande do Sul","Área colhida (Hectares)","3833000"
"outubro 2008","Rio Grande do Sul","Produção (Toneladas)","7773324"
"outubro 2008","Mato Grosso do Sul","Área colhida (Hectares)","1731376"
"outubro 2008","Mato Grosso do Sul","Produção (Toneladas)","4570771"
"outubro 2008","Mato Grosso","Área colhida (Hectares)","5662587"
"outubro 2008","Mato Grosso","Produção (Toneladas)","17811403"
"outubro 2008","Goiás","Área colhida (Hectares)","2179880"
"outubro 2008","Goiás","Produção (Toneladas)","6543259"
"outubro 2008","Distrito Federal","Área colhida (Hectares)","48712"
"outubro 2008","Distrito Federal","Produção (Toneladas)","153443"
"novembro 2008","Rondônia","Área colhida (Hectares)","99206"
"novembro 2008","Rondônia","Produção (Toneladas)","311560"
"novembro 2008","Acre","Área colhida (Hectares)","-"
"novembro 2008","Acre","Produção (Toneladas)","-"
"novembro 2008","Amazonas","Área colhida (Hectares)","-"
"novembro 2008","Amazonas","Produção (Toneladas)","-"
"novembro 2008","Roraima","Área colhida (Hectares)","-"
"novembro 2008","Roraima","Produção (Toneladas)","-"
"novembro 2008","Pará","Área colhida (Hectares)","70776"
"novembro 2008","Pará","Produção (Toneladas)","201111"
"novembro 2008","Amapá","Área colhida (Hectares)","-"
"novembro 2008","Amapá","Produção (Toneladas)","-"
"novembro 2008","Tocantins","Área colhida (Hectares)","324480"
"novembro 2008","Tocantins","Produção (Toneladas)","899532"
"novembro 2008","Maranhão","Área colhida (Hectares)","421470"
"novembro 2008","Maranhão","Produção (Toneladas)","1262560"
"novembro 2008","Piauí","Área colhida (Hectares)","253566"
"novembro 2008","Piauí","Produção (Toneladas)","819258"
"novembro 2008","Ceará","Área colhida (Hectares)","-"
"novembro 2008","Ceará","Produção (Toneladas)","-"
"novembro 2008","Rio Grande do Norte","Área colhida (Hectares)","-"
"novembro 2008","Rio Grande do Norte","Produção (Toneladas)","-"
"novembro 2008","Paraíba","Área colhida (Hectares)","-"
"novembro 2008","Paraíba","Produção (Toneladas)","-"
"novembro 2008","Pernambuco","Área colhida (Hectares)","-"
"novembro 2008","Pernambuco","Produção (Toneladas)","-"
"novembro 2008","Alagoas","Área colhida (Hectares)","-"
"novembro 2008","Alagoas","Produção (Toneladas)","-"
"novembro 2008","Sergipe","Área colhida (Hectares)","-"
"novembro 2008","Sergipe","Produção (Toneladas)","-"
"novembro 2008","Bahia","Área colhida (Hectares)","905018"
"novembro 2008","Bahia","Produção (Toneladas)","2747634"
"novembro 2008","Minas Gerais","Área colhida (Hectares)","865622"
"novembro 2008","Minas Gerais","Produção (Toneladas)","2536230"
"novembro 2008","Espírito Santo","Área colhida (Hectares)","-"
"novembro 2008","Espírito Santo","Produção (Toneladas)","-"
"novembro 2008","Rio de Janeiro","Área colhida (Hectares)","-"
"novembro 2008","Rio de Janeiro","Produção (Toneladas)","-"
"novembro 2008","São Paulo","Área colhida (Hectares)","526000"
"novembro 2008","São Paulo","Produção (Toneladas)","1446500"
"novembro 2008","Paraná","Área colhida (Hectares)","3977193"
"novembro 2008","Paraná","Produção (Toneladas)","11897214"
"novembro 2008","Santa Catarina","Área colhida (Hectares)","373358"
"novembro 2008","Santa Catarina","Produção (Toneladas)","946463"
"novembro 2008","Rio Grande do Sul","Área colhida (Hectares)","3833000"
"novembro 2008","Rio Grande do Sul","Produção (Toneladas)","7773324"
"novembro 2008","Mato Grosso do Sul","Área colhida (Hectares)","1731376"
"novembro 2008","Mato Grosso do Sul","Produção (Toneladas)","4570771"
"novembro 2008","Mato Grosso","Área colhida (Hectares)","5662587"
"novembro 2008","Mato Grosso","Produção (Toneladas)","17811403"
"novembro 2008","Goiás","Área colhida (Hectares)","2179880"
"novembro 2008","Goiás","Produção (Toneladas)","6543259"
"novembro 2008","Distrito Federal","Área colhida (Hectares)","48712"
"novembro 2008","Distrito Federal","Produção (Toneladas)","153443"
"dezembro 2008","Rondônia","Área colhida (Hectares)","99206"
"dezembro 2008","Rondônia","Produção (Toneladas)","311560"
"dezembro 2008","Acre","Área colhida (Hectares)","-"
"dezembro 2008","Acre","Produção (Toneladas)","-"
"dezembro 2008","Amazonas","Área colhida (Hectares)","-"
"dezembro 2008","Amazonas","Produção (Toneladas)","-"
"dezembro 2008","Roraima","Área colhida (Hectares)","-"
"dezembro 2008","Roraima","Produção (Toneladas)","-"
"dezembro 2008","Pará","Área colhida (Hectares)","70776"
"dezembro 2008","Pará","Produção (Toneladas)","201111"
"dezembro 2008","Amapá","Área colhida (Hectares)","-"
"dezembro 2008","Amapá","Produção (Toneladas)","-"
"dezembro 2008","Tocantins","Área colhida (Hectares)","324480"
"dezembro 2008","Tocantins","Produção (Toneladas)","899532"
"dezembro 2008","Maranhão","Área colhida (Hectares)","421470"
"dezembro 2008","Maranhão","Produção (Toneladas)","1262560"
"dezembro 2008","Piauí","Área colhida (Hectares)","253566"
"dezembro 2008","Piauí","Produção (Toneladas)","819258"
"dezembro 2008","Ceará","Área colhida (Hectares)","-"
"dezembro 2008","Ceará","Produção (Toneladas)","-"
"dezembro 2008","Rio Grande do Norte","Área colhida (Hectares)","-"
"dezembro 2008","Rio Grande do Norte","Produção (Toneladas)","-"
"dezembro 2008","Paraíba","Área colhida (Hectares)","-"
"dezembro 2008","Paraíba","Produção (Toneladas)","-"
"dezembro 2008","Pernambuco","Área colhida (Hectares)","-"
"dezembro 2008","Pernambuco","Produção (Toneladas)","-"
"dezembro 2008","Alagoas","Área colhida (Hectares)","-"
"dezembro 2008","Alagoas","Produção (Toneladas)","-"
"dezembro 2008","Sergipe","Área colhida (Hectares)","-"
"dezembro 2008","Sergipe","Produção (Toneladas)","-"
"dezembro 2008","Bahia","Área colhida (Hectares)","905018"
"dezembro 2008","Bahia","Produção (Toneladas)","2747634"
"dezembro 2008","Minas Gerais","Área colhida (Hectares)","865622"
"dezembro 2008","Minas Gerais","Produção (Toneladas)","2536230"
"dezembro 2008","Espírito Santo","Área colhida (Hectares)","-"
"dezembro 2008","Espírito Santo","Produção (Toneladas)","-"
"dezembro 2008","Rio de Janeiro","Área colhida (Hectares)","-"
"dezembro 2008","Rio de Janeiro","Produção (Toneladas)","-"
"dezembro 2008","São Paulo","Área colhida (Hectares)","526000"
