"Tabela 6588 - Série histórica da estimativa anual da área plantada, área colhida, produção e rendimento médio dos produtos das lavouras"
"Mês","Brasil e Grande Região","Variável","Valor"
"março 2016","Sul","Área colhida (Hectares)","11554873"
"março 2016","Sul","Produção (Toneladas)","35293774"
"março 2016","Centro-Oeste","Área colhida (Hectares)","14931664"
"março 2016","Centro-Oeste","Produção (Toneladas)","46078812"
"abril 2016","Brasil","Área colhida (Hectares)","33026266"
"abril 2016","Brasil","Produção (Toneladas)","98472972"
"abril 2016","Norte","Área colhida (Hectares)","1496869"
"abril 2016","Norte","Produção (Toneladas)","4294903"
"abril 2016","Nordeste","Área colhida (Hectares)","2842108"
"abril 2016","Nordeste","Produção (Toneladas)","6374267"
"abril 2016","Sudeste","Área colhida (Hectares)","2270480"
"abril 2016","Sudeste","Produção (Toneladas)","7237728"
"abril 2016","Sul","Área colhida (Hectares)","11557808"
"abril 2016","Sul","Produção (Toneladas)","35200457"
"abril 2016","Centro-Oeste","Área colhida (Hectares)","14859001"
"abril 2016","Centro-Oeste","Produção (Toneladas)","45365617"
"maio 2016","Brasil","Área colhida (Hectares)","32979041"
"maio 2016","Brasil","Produção (Toneladas)","96757132"
"maio 2016","Norte","Área colhida (Hectares)","1475697"
"maio 2016","Norte","Produção (Toneladas)","3975939"
"maio 2016","Nordeste","Área colhida (Hectares)","2839700"
"maio 2016","Nordeste","Produção (Toneladas)","5117658"
"maio 2016","Sudeste","Área colhida (Hectares)","2270630"
"maio 2016","Sudeste","Produção (Toneladas)","7241203"
"maio 2016","Sul","Área colhida (Hectares)","11549525"
"maio 2016","Sul","Produção (Toneladas)","35522999"
"maio 2016","Centro-Oeste","Área colhida (Hectares)","14843489"
"maio 2016","Centro-Oeste","Produção (Toneladas)","44899333"
"junho 2016","Brasil","Área colhida (Hectares)","33021828"
"junho 2016","Brasil","Produção (Toneladas)","96569646"
"junho 2016","Norte","Área colhida (Hectares)","1485293"
"junho 2016","Norte","Produção (Toneladas)","3868194"
"junho 2016","Nordeste","Área colhida (Hectares)","2839650"
"junho 2016","Nordeste","Produção (Toneladas)","5100574"
"junho 2016","Sudeste","Área colhida (Hectares)","2270630"
"junho 2016","Sudeste","Produção (Toneladas)","7241284"
"junho 2016","Sul","Área colhida (Hectares)","11564707"
"junho 2016","Sul","Produção (Toneladas)","35403724"
"junho 2016","Centro-Oeste","Área colhida (Hectares)","14861548"
"junho 2016","Centro-Oeste","Produção (Toneladas)","44955870"
"julho 2016","Brasil","Área colhida (Hectares)","33054665"
"julho 2016","Brasil","Produção (Toneladas)","96347984"
"julho 2016","Norte","Área colhida (Hectares)","1489801"
"julho 2016","Norte","Produção (Toneladas)","3883293"
"julho 2016","Nordeste","Área colhida (Hectares)","2839620"
"julho 2016","Nordeste","Produção (Toneladas)","5070874"
"julho 2016","Sudeste","Área colhida (Hectares)","2300337"
"julho 2016","Sudeste","Produção (Toneladas)","7385454"
"julho 2016","Sul","Área colhida (Hectares)","11552205"
"julho 2016","Sul","Produção (Toneladas)","35299555"
"julho 2016","Centro-Oeste","Área colhida (Hectares)","14872702"
"julho 2016","Centro-Oeste","Produção (Toneladas)","44708808"
"agosto 2016","Brasil","Área colhida (Hectares)","33069479"
"agosto 2016","Brasil","Produção (Toneladas)","96388856"
"agosto 2016","Norte","Área colhida (Hectares)","1487997"
"agosto 2016","Norte","Produção (Toneladas)","3877686"
"agosto 2016","Nordeste","Área colhida (Hectares)","2872329"
"agosto 2016","Nordeste","Produção (Toneladas)","5138390"
"agosto 2016","Sudeste","Área colhida (Hectares)","2288836"
"agosto 2016","Sudeste","Produção (Toneladas)","7390051"
"agosto 2016","Sul","Área colhida (Hectares)","11552205"
"agosto 2016","Sul","Produção (Toneladas)","35299555"
"agosto 2016","Centro-Oeste","Área colhida (Hectares)","14868112"
"agosto 2016","Centro-Oeste","Produção (Toneladas)","44683174"
"setembro 2016","Brasil","Área colhida (Hectares)","33070473"
"setembro 2016","Brasil","Produção (Toneladas)","96056444"
"setembro 2016","Norte","Área colhida (Hectares)","1488583"
"setembro 2016","Norte","Produção (Toneladas)","4061542"
"setembro 2016","Nordeste","Área colhida (Hectares)","2872329"
"setembro 2016","Nordeste","Produção (Toneladas)","5138390"
"setembro 2016","Sudeste","Área colhida (Hectares)","2287427"
"setembro 2016","Sudeste","Produção (Toneladas)","7375253"
"setembro 2016","Sul","Área colhida (Hectares)","11552305"
"setembro 2016","Sul","Produção (Toneladas)","35299105"
"setembro 2016","Centro-Oeste","Área colhida (Hectares)","14869829"
"setembro 2016","Centro-Oeste","Produção (Toneladas)","44182154"
"outubro 2016","Brasil","Área colhida (Hectares)","33073248"
"outubro 2016","Brasil","Produção (Toneladas)","96036887"
"outubro 2016","Norte","Área colhida (Hectares)","1491764"
"outubro 2016","Norte","Produção (Toneladas)","4075831"
"outubro 2016","Nordeste","Área colhida (Hectares)","2872607"
"outubro 2016","Nordeste","Produção (Toneladas)","5138940"
"outubro 2016","Sudeste","Área colhida (Hectares)","2287427"
"outubro 2016","Sudeste","Produção (Toneladas)","7375333"
"outubro 2016","Sul","Área colhida (Hectares)","11552305"
"outubro 2016","Sul","Produção (Toneladas)","35299105"
"outubro 2016","Centro-Oeste","Área colhida (Hectares)","14869145"
"outubro 2016","Centro-Oeste","Produção (Toneladas)","44147678"
"novembro 2016","Brasil","Área colhida (Hectares)","33073108"
"novembro 2016","Brasil","Produção (Toneladas)","96026383"
"novembro 2016","Norte","Área colhida (Hectares)","1491984"
"novembro 2016","Norte","Produção (Toneladas)","4076286"
"novembro 2016","Nordeste","Área colhida (Hectares)","2872597"
"novembro 2016","Nordeste","Produção (Toneladas)","5129031"
"novembro 2016","Sudeste","Área colhida (Hectares)","2287427"
"novembro 2016","Sudeste","Produção (Toneladas)","7375333"
"novembro 2016","Sul","Área colhida (Hectares)","11552305"
"novembro 2016","Sul","Produção (Toneladas)","35299105"
"novembro 2016","Centro-Oeste","Área colhida (Hectares)","14868795"
"novembro 2016","Centro-Oeste","Produção (Toneladas)","44146628"
"dezembro 2016","Brasil","Área colhida (Hectares)","33092376"
"dezembro 2016","Brasil","Produção (Toneladas)","95753265"
"dezembro 2016","Norte","Área colhida (Hectares)","1495451"
"dezembro 2016","Norte","Produção (Toneladas)","3969767"
"dezembro 2016","Nordeste","Área colhida (Hectares)","2872597"
"dezembro 2016","Nordeste","Produção (Toneladas)","5100185"
"dezembro 2016","Sudeste","Área colhida (Hectares)","2287427"
"dezembro 2016","Sudeste","Produção (Toneladas)","7375333"
"dezembro 2016","Sul","Área colhida (Hectares)","11546876"
"dezembro 2016","Sul","Produção (Toneladas)","35170330"
"dezembro 2016","Centro-Oeste","Área colhida (Hectares)","14890025"
"dezembro 2016","Centro-Oeste","Produção (Toneladas)","44137650"
"janeiro 2017","Brasil","Área colhida (Hectares)","33708401"
"janeiro 2017","Brasil","Produção (Toneladas)","107039408"
"janeiro 2017","Norte","Área colhida (Hectares)","1607194"
"janeiro 2017","Norte","Produção (Toneladas)","4811299"
"janeiro 2017","Nordeste","Área colhida (Hectares)","3108800"
"janeiro 2017","Nordeste","Produção (Toneladas)","9425871"
"janeiro 2017","Sudeste","Área colhida (Hectares)","2373838"
"janeiro 2017","Sudeste","Produção (Toneladas)","7244326"
"janeiro 2017","Sul","Área colhida (Hectares)","11460213"
"janeiro 2017","Sul","Produção (Toneladas)","37123160"
"janeiro 2017","Centro-Oeste","Área colhida (Hectares)","15158356"
"janeiro 2017","Centro-Oeste","Produção (Toneladas)","48434752"
"fevereiro 2017","Brasil","Área colhida (Hectares)","33771298"
"fevereiro 2017","Brasil","Produção (Toneladas)","108404791"
"fevereiro 2017","Norte","Área colhida (Hectares)","1608247"
"fevereiro 2017","Norte","Produção (Toneladas)","4822879"
"fevereiro 2017","Nordeste","Área colhida (Hectares)","3105900"
"fevereiro 2017","Nordeste","Produção (Toneladas)","9415149"
"fevereiro 2017","Sudeste","Área colhida (Hectares)","2365165"
"fevereiro 2017","Sudeste","Produção (Toneladas)","7231483"
"fevereiro 2017","Sul","Área colhida (Hectares)","11502074"
"fevereiro 2017","Sul","Produção (Toneladas)","37699075"
"fevereiro 2017","Centro-Oeste","Área colhida (Hectares)","15189912"
"fevereiro 2017","Centro-Oeste","Produção (Toneladas)","49236205"
"março 2017","Brasil","Área colhida (Hectares)","33933867"
"março 2017","Brasil","Produção (Toneladas)","110935272"
"março 2017","Norte","Área colhida (Hectares)","1624577"
"março 2017","Norte","Produção (Toneladas)","4919206"
"março 2017","Nordeste","Área colhida (Hectares)","3115769"
"março 2017","Nordeste","Produção (Toneladas)","9414649"
"março 2017","Sudeste","Área colhida (Hectares)","2362529"
"março 2017","Sudeste","Produção (Toneladas)","7332896"
"março 2017","Sul","Área colhida (Hectares)","11501260"
"março 2017","Sul","Produção (Toneladas)","38825057"
"março 2017","Centro-Oeste","Área colhida (Hectares)","15329732"
"março 2017","Centro-Oeste","Produção (Toneladas)","50443464"
"abril 2017","Brasil","Área colhida (Hectares)","33924514"
"abril 2017","Brasil","Produção (Toneladas)","112858921"
"abril 2017","Norte","Área colhida (Hectares)","1629432"
"abril 2017","Norte","Produção (Toneladas)","4933297"
"abril 2017","Nordeste","Área colhida (Hectares)","3095835"
"abril 2017","Nordeste","Produção (Toneladas)","9546434"
"abril 2017","Sudeste","Área colhida (Hectares)","2332810"
"abril 2017","Sudeste","Produção (Toneladas)","7948695"
"abril 2017","Sul","Área colhida (Hectares)","11511488"
"abril 2017","Sul","Produção (Toneladas)","39174570"
"abril 2017","Centro-Oeste","Área colhida (Hectares)","15354949"
"abril 2017","Centro-Oeste","Produção (Toneladas)","51255925"
"maio 2017","Brasil","Área colhida (Hectares)","33818380"
"maio 2017","Brasil","Produção (Toneladas)","113871771"
"maio 2017","Norte","Área colhida (Hectares)","1666000"
"maio 2017","Norte","Produção (Toneladas)","5000690"
"maio 2017","Nordeste","Área colhida (Hectares)","3093938"
"maio 2017","Nordeste","Produção (Toneladas)","9353986"
"maio 2017","Sudeste","Área colhida (Hectares)","2333996"
"maio 2017","Sudeste","Produção (Toneladas)","8010504"
"maio 2017","Sul","Área colhida (Hectares)","11431419"
"maio 2017","Sul","Produção (Toneladas)","40440276"
"maio 2017","Centro-Oeste","Área colhida (Hectares)","15293027"
"maio 2017","Centro-Oeste","Produção (Toneladas)","51066315"
"junho 2017","Brasil","Área colhida (Hectares)","33873025"
"junho 2017","Brasil","Produção (Toneladas)","114776780"
"junho 2017","Norte","Área colhida (Hectares)","1672095"
"junho 2017","Norte","Produção (Toneladas)","5021363"
"junho 2017","Nordeste","Área colhida (Hectares)","3094218"
"junho 2017","Nordeste","Produção (Toneladas)","9753399"
"junho 2017","Sudeste","Área colhida (Hectares)","2334160"
"junho 2017","Sudeste","Produção (Toneladas)","8030867"
"junho 2017","Sul","Área colhida (Hectares)","11438898"
"junho 2017","Sul","Produção (Toneladas)","40623435"
"junho 2017","Centro-Oeste","Área colhida (Hectares)","15333654"
"junho 2017","Centro-Oeste","Produção (Toneladas)","51347716"
"julho 2017","Brasil","Área colhida (Hectares)","33868428"
"julho 2017","Brasil","Produção (Toneladas)","114996100"
"julho 2017","Norte","Área colhida (Hectares)","1672395"
"julho 2017","Norte","Produção (Toneladas)","5061721"
"julho 2017","Nordeste","Área colhida (Hectares)","3096096"
"julho 2017","Nordeste","Produção (Toneladas)","9664100"
"julho 2017","Sudeste","Área colhida (Hectares)","2334714"
"julho 2017","Sudeste","Produção (Toneladas)","8107087"
"julho 2017","Sul","Área colhida (Hectares)","11455863"
"julho 2017","Sul","Produção (Toneladas)","40821788"
"julho 2017","Centro-Oeste","Área colhida (Hectares)","15309360"
"julho 2017","Centro-Oeste","Produção (Toneladas)","51341404"
"agosto 2017","Brasil","Área colhida (Hectares)","33897301"
"agosto 2017","Brasil","Produção (Toneladas)","114918026"
"agosto 2017","Norte","Área colhida (Hectares)","1673638"
"agosto 2017","Norte","Produção (Toneladas)","5081418"
"agosto 2017","Nordeste","Área colhida (Hectares)","3096246"
"agosto 2017","Nordeste","Produção (Toneladas)","9485875"
"agosto 2017","Sudeste","Área colhida (Hectares)","2356954"
"agosto 2017","Sudeste","Produção (Toneladas)","8167209"
"agosto 2017","Sul","Área colhida (Hectares)","11455863"
"agosto 2017","Sul","Produção (Toneladas)","40821788"
"agosto 2017","Centro-Oeste","Área colhida (Hectares)","15314600"
"agosto 2017","Centro-Oeste","Produção (Toneladas)","51361736"
"setembro 2017","Brasil","Área colhida (Hectares)","33899090"
"setembro 2017","Brasil","Produção (Toneladas)","115062174"
"setembro 2017","Norte","Área colhida (Hectares)","1673638"
"setembro 2017","Norte","Produção (Toneladas)","5081418"
"setembro 2017","Nordeste","Área colhida (Hectares)","3094601"
"setembro 2017","Nordeste","Produção (Toneladas)","9481200"
"setembro 2017","Sudeste","Área colhida (Hectares)","2373554"
"setembro 2017","Sudeste","Produção (Toneladas)","8220909"
"setembro 2017","Sul","Área colhida (Hectares)","11467589"
"setembro 2017","Sul","Produção (Toneladas)","40991792"
"setembro 2017","Centro-Oeste","Área colhida (Hectares)","15289708"
"setembro 2017","Centro-Oeste","Produção (Toneladas)","51286855"
"outubro 2017","Brasil","Área colhida (Hectares)","33887509"
"outubro 2017","Brasil","Produção (Toneladas)","114959598"
"outubro 2017","Norte","Área colhida (Hectares)","1673638"
"outubro 2017","Norte","Produção (Toneladas)","5081418"
"outubro 2017","Nordeste","Área colhida (Hectares)","3094601"
"outubro 2017","Nordeste","Produção (Toneladas)","9481200"
"outubro 2017","Sudeste","Área colhida (Hectares)","2373554"
"outubro 2017","Sudeste","Produção (Toneladas)","8220909"
"outubro 2017","Sul","Área colhida (Hectares)","11467589"
"outubro 2017","Sul","Produção (Toneladas)","40991792"
"outubro 2017","Centro-Oeste","Área colhida (Hectares)","15278127"
"outubro 2017","Centro-Oeste","Produção (Toneladas)","51184279"
"novembro 2017","Brasil","Área colhida (Hectares)","33888286"
"novembro 2017","Brasil","Produção (Toneladas)","114968060"
"novembro 2017","Norte","Área colhida (Hectares)","1670419"
"novembro 2017","Norte","Produção (Toneladas)","5070357"
"novembro 2017","Nordeste","Área colhida (Hectares)","3094601"
"novembro 2017","Nordeste","Produção (Toneladas)","9480648"
"novembro 2017","Sudeste","Área colhida (Hectares)","2373554"
"novembro 2017","Sudeste","Produção (Toneladas)","8220909"
"novembro 2017","Sul","Área colhida (Hectares)","11467589"
"novembro 2017","Sul","Produção (Toneladas)","40991792"
"novembro 2017","Centro-Oeste","Área colhida (Hectares)","15282123"
"novembro 2017","Centro-Oeste","Produção (Toneladas)","51204354"
"dezembro 2017","Brasil","Área colhida (Hectares)","33897554"
"dezembro 2017","Brasil","Produção (Toneladas)","114982993"
"dezembro 2017","Norte","Área colhida (Hectares)","1693261"
"dezembro 2017","Norte","Produção (Toneladas)","5122448"
"dezembro 2017","Nordeste","Área colhida (Hectares)","3098034"
"dezembro 2017","Nordeste","Produção (Toneladas)","9491271"
"dezembro 2017","Sudeste","Área colhida (Hectares)","2373554"
"dezembro 2017","Sudeste","Produção (Toneladas)","8220909"
"dezembro 2017","Sul","Área colhida (Hectares)","11467589"
"dezembro 2017","Sul","Produção (Toneladas)","40991792"
"dezembro 2017","Centro-Oeste","Área colhida (Hectares)","15265116"
"dezembro 2017","Centro-Oeste","Produção (Toneladas)","51156573"
"janeiro 2018","Brasil","Área colhida (Hectares)","34561420"
"janeiro 2018","Brasil","Produção (Toneladas)","112433054"
"janeiro 2018","Norte","Área colhida (Hectares)","1768441"
"janeiro 2018","Norte","Produção (Toneladas)","5087337"
"janeiro 2018","Nordeste","Área colhida (Hectares)","3033801"
"janeiro 2018","Nordeste","Produção (Toneladas)","9771745"
"janeiro 2018","Sudeste","Área colhida (Hectares)","2392703"
"janeiro 2018","Sudeste","Produção (Toneladas)","7739452"
"janeiro 2018","Sul","Área colhida (Hectares)","11926305"
"janeiro 2018","Sul","Produção (Toneladas)","39653417"
"janeiro 2018","Centro-Oeste","Área colhida (Hectares)","15440170"
"janeiro 2018","Centro-Oeste","Produção (Toneladas)","50181103"
"fevereiro 2018","Brasil","Área colhida (Hectares)","34733001"
"fevereiro 2018","Brasil","Produção (Toneladas)","113154525"
"fevereiro 2018","Norte","Área colhida (Hectares)","1769991"
"fevereiro 2018","Norte","Produção (Toneladas)","5090157"
"fevereiro 2018","Nordeste","Área colhida (Hectares)","3195641"
"fevereiro 2018","Nordeste","Produção (Toneladas)","9753578"
"fevereiro 2018","Sudeste","Área colhida (Hectares)","2392703"
"fevereiro 2018","Sudeste","Produção (Toneladas)","7739452"
"fevereiro 2018","Sul","Área colhida (Hectares)","11925401"
"fevereiro 2018","Sul","Produção (Toneladas)","39678622"
"fevereiro 2018","Centro-Oeste","Área colhida (Hectares)","15449265"
"fevereiro 2018","Centro-Oeste","Produção (Toneladas)","50892716"
"março 2018","Brasil","Área colhida (Hectares)","34773225"
"março 2018","Brasil","Produção (Toneladas)","114525973"
"março 2018","Norte","Área colhida (Hectares)","1769991"
"março 2018","Norte","Produção (Toneladas)","5090157"
"março 2018","Nordeste","Área colhida (Hectares)","3229196"
"março 2018","Nordeste","Produção (Toneladas)","10358019"
"março 2018","Sudeste","Área colhida (Hectares)","2392703"
"março 2018","Sudeste","Produção (Toneladas)","7739452"
"março 2018","Sul","Área colhida (Hectares)","11903047"
"março 2018","Sul","Produção (Toneladas)","39512224"
"março 2018","Centro-Oeste","Área colhida (Hectares)","15478288"
"março 2018","Centro-Oeste","Produção (Toneladas)","51826121"
"abril 2018","Brasil","Área colhida (Hectares)","34781302"
"abril 2018","Brasil","Produção (Toneladas)","115617772"
"abril 2018","Norte","Área colhida (Hectares)","1784286"
"abril 2018","Norte","Produção (Toneladas)","5212394"
"abril 2018","Nordeste","Área colhida (Hectares)","3233473"
"abril 2018","Nordeste","Produção (Toneladas)","10365197"
"abril 2018","Sudeste","Área colhida (Hectares)","2431884"
"abril 2018","Sudeste","Produção (Toneladas)","8219509"
"abril 2018","Sul","Área colhida (Hectares)","11850345"
"abril 2018","Sul","Produção (Toneladas)","39038047"
"abril 2018","Centro-Oeste","Área colhida (Hectares)","15481314"
"abril 2018","Centro-Oeste","Produção (Toneladas)","52782625"
"maio 2018","Brasil","Área colhida (Hectares)","34767415"
"maio 2018","Brasil","Produção (Toneladas)","115752047"
"maio 2018","Norte","Área colhida (Hectares)","1765170"
"maio 2018","Norte","Produção (Toneladas)","5119898"
"maio 2018","Nordeste","Área colhida (Hectares)","3233423"
"maio 2018","Nordeste","Produção (Toneladas)","10364682"
"maio 2018","Sudeste","Área colhida (Hectares)","2431884"
"maio 2018","Sudeste","Produção (Toneladas)","8219509"
"maio 2018","Sul","Área colhida (Hectares)","11850345"
"maio 2018","Sul","Produção (Toneladas)","39038047"
"maio 2018","Centro-Oeste","Área colhida (Hectares)","15486593"
"maio 2018","Centro-Oeste","Produção (Toneladas)","53009911"
"junho 2018","Brasil","Área colhida (Hectares)","34765926"
"junho 2018","Brasil","Produção (Toneladas)","116309308"
"junho 2018","Norte","Área colhida (Hectares)","1763261"
"junho 2018","Norte","Produção (Toneladas)","5100617"
"junho 2018","Nordeste","Área colhida (Hectares)","3233424"
"junho 2018","Nordeste","Produção (Toneladas)","10848686"
"junho 2018","Sudeste","Área colhida (Hectares)","2432303"
"junho 2018","Sudeste","Produção (Toneladas)","8311237"
"junho 2018","Sul","Área colhida (Hectares)","11850345"
"junho 2018","Sul","Produção (Toneladas)","39038047"
"junho 2018","Centro-Oeste","Área colhida (Hectares)","15486593"
"junho 2018","Centro-Oeste","Produção (Toneladas)","53010721"
"julho 2018","Brasil","Área colhida (Hectares)","34753316"
"julho 2018","Brasil","Produção (Toneladas)","116405751"
"julho 2018","Norte","Área colhida (Hectares)","1746502"
"julho 2018","Norte","Produção (Toneladas)","5105006"
"julho 2018","Nordeste","Área colhida (Hectares)","3231300"
"julho 2018","Nordeste","Produção (Toneladas)","10875527"
"julho 2018","Sudeste","Área colhida (Hectares)","2432303"
"julho 2018","Sudeste","Produção (Toneladas)","8311237"
"julho 2018","Sul","Área colhida (Hectares)","11850345"
"julho 2018","Sul","Produção (Toneladas)","39038047"
"julho 2018","Centro-Oeste","Área colhida (Hectares)","15492866"
"julho 2018","Centro-Oeste","Produção (Toneladas)","53075934"
"agosto 2018","Brasil","Área colhida (Hectares)","34791299"
"agosto 2018","Brasil","Produção (Toneladas)","116768024"
"agosto 2018","Norte","Área colhida (Hectares)","1758448"
"agosto 2018","Norte","Produção (Toneladas)","5236881"
"agosto 2018","Nordeste","Área colhida (Hectares)","3234145"
"agosto 2018","Nordeste","Produção (Toneladas)","10971100"
"agosto 2018","Sudeste","Área colhida (Hectares)","2432303"
"agosto 2018","Sudeste","Produção (Toneladas)","8311237"
"agosto 2018","Sul","Área colhida (Hectares)","11880897"
"agosto 2018","Sul","Produção (Toneladas)","39197372"
"agosto 2018","Centro-Oeste","Área colhida (Hectares)","15485506"
"agosto 2018","Centro-Oeste","Produção (Toneladas)","53051434"
"setembro 2018","Brasil","Área colhida (Hectares)","34820828"
"setembro 2018","Brasil","Produção (Toneladas)","117255703"
"setembro 2018","Norte","Área colhida (Hectares)","1750378"
"setembro 2018","Norte","Produção (Toneladas)","5212713"
"setembro 2018","Nordeste","Área colhida (Hectares)","3234345"
"setembro 2018","Nordeste","Produção (Toneladas)","10975354"
"setembro 2018","Sudeste","Área colhida (Hectares)","2470093"
"setembro 2018","Sudeste","Produção (Toneladas)","8843698"
"setembro 2018","Sul","Área colhida (Hectares)","11880608"
"setembro 2018","Sul","Produção (Toneladas)","39154873"
"setembro 2018","Centro-Oeste","Área colhida (Hectares)","15485404"
"setembro 2018","Centro-Oeste","Produção (Toneladas)","53069065"
"outubro 2018","Brasil","Área colhida (Hectares)","34831665"
"outubro 2018","Brasil","Produção (Toneladas)","117737831"
"outubro 2018","Norte","Área colhida (Hectares)","1753814"
"outubro 2018","Norte","Produção (Toneladas)","5222150"
"outubro 2018","Nordeste","Área colhida (Hectares)","3239669"
"outubro 2018","Nordeste","Produção (Toneladas)","11470592"
"outubro 2018","Sudeste","Área colhida (Hectares)","2468356"
"outubro 2018","Sudeste","Produção (Toneladas)","8837039"
"outubro 2018","Sul","Área colhida (Hectares)","11879663"
"outubro 2018","Sul","Produção (Toneladas)","39154723"
"outubro 2018","Centro-Oeste","Área colhida (Hectares)","15490163"
"outubro 2018","Centro-Oeste","Produção (Toneladas)","53053327"
"novembro 2018","Brasil","Área colhida (Hectares)","34910006"
"novembro 2018","Brasil","Produção (Toneladas)","117927506"
"novembro 2018","Norte","Área colhida (Hectares)","1769505"
"novembro 2018","Norte","Produção (Toneladas)","5254039"
"novembro 2018","Nordeste","Área colhida (Hectares)","3238729"
"novembro 2018","Nordeste","Produção (Toneladas)","11467456"
"novembro 2018","Sudeste","Área colhida (Hectares)","2468356"
"novembro 2018","Sudeste","Produção (Toneladas)","8837039"
"novembro 2018","Sul","Área colhida (Hectares)","11879663"
"novembro 2018","Sul","Produção (Toneladas)","39154723"
"novembro 2018","Centro-Oeste","Área colhida (Hectares)","15553753"
"novembro 2018","Centro-Oeste","Produção (Toneladas)","53214249"
"dezembro 2018","Brasil","Área colhida (Hectares)","34880868"
"dezembro 2018","Brasil","Produção (Toneladas)","117833492"
"dezembro 2018","Norte","Área colhida (Hectares)","1793143"
"dezembro 2018","Norte","Produção (Toneladas)","5320413"
"dezembro 2018","Nordeste","Área colhida (Hectares)","3239879"
"dezembro 2018","Nordeste","Produção (Toneladas)","11470906"
"dezembro 2018","Sudeste","Área colhida (Hectares)","2470892"
"dezembro 2018","Sudeste","Produção (Toneladas)","8845596"
"dezembro 2018","Sul","Área colhida (Hectares)","11879663"
"dezembro 2018","Sul","Produção (Toneladas)","39154723"
"dezembro 2018","Centro-Oeste","Área colhida (Hectares)","15497291"
"dezembro 2018","Centro-Oeste","Produção (Toneladas)","53041854"
"janeiro 2019","Brasil","Área colhida (Hectares)","35581176"
"janeiro 2019","Brasil","Produção (Toneladas)","114721472"
"janeiro 2019","Norte","Área colhida (Hectares)","1840099"
"janeiro 2019","Norte","Produção (Toneladas)","5680457"
"janeiro 2019","Nordeste","Área colhida (Hectares)","3354247"
"janeiro 2019","Nordeste","Produção (Toneladas)","10313991"
"janeiro 2019","Sudeste","Área colhida (Hectares)","2533240"
"janeiro 2019","Sudeste","Produção (Toneladas)","8895619"
"janeiro 2019","Sul","Área colhida (Hectares)","11992591"
"janeiro 2019","Sul","Produção (Toneladas)","37995525"
"janeiro 2019","Centro-Oeste","Área colhida (Hectares)","15860999"
"janeiro 2019","Centro-Oeste","Produção (Toneladas)","51835880"
"fevereiro 2019","Brasil","Área colhida (Hectares)","35490542"
"fevereiro 2019","Brasil","Produção (Toneladas)","113393434"
"fevereiro 2019","Norte","Área colhida (Hectares)","1773612"
"fevereiro 2019","Norte","Produção (Toneladas)","5343719"
"fevereiro 2019","Nordeste","Área colhida (Hectares)","3354564"
"fevereiro 2019","Nordeste","Produção (Toneladas)","10234590"
"fevereiro 2019","Sudeste","Área colhida (Hectares)","2533240"
"fevereiro 2019","Sudeste","Produção (Toneladas)","8895619"
"fevereiro 2019","Sul","Área colhida (Hectares)","11942315"
"fevereiro 2019","Sul","Produção (Toneladas)","37329422"
"fevereiro 2019","Centro-Oeste","Área colhida (Hectares)","15886811"
"fevereiro 2019","Centro-Oeste","Produção (Toneladas)","51590084"
"março 2019","Brasil","Área colhida (Hectares)","35564525"
"março 2019","Brasil","Produção (Toneladas)","112516470"
"março 2019","Norte","Área colhida (Hectares)","1773752"
"março 2019","Norte","Produção (Toneladas)","5344315"
"março 2019","Nordeste","Área colhida (Hectares)","3303532"
"março 2019","Nordeste","Produção (Toneladas)","10153128"
"março 2019","Sudeste","Área colhida (Hectares)","2559140"
"março 2019","Sudeste","Produção (Toneladas)","8312029"
"março 2019","Sul","Área colhida (Hectares)","11979600"
"março 2019","Sul","Produção (Toneladas)","37320281"
"março 2019","Centro-Oeste","Área colhida (Hectares)","15948501"
"março 2019","Centro-Oeste","Produção (Toneladas)","51386717"
"abril 2019","Brasil","Área colhida (Hectares)","35579447"
"abril 2019","Brasil","Produção (Toneladas)","112605157"
"abril 2019","Norte","Área colhida (Hectares)","1819880"
"abril 2019","Norte","Produção (Toneladas)","5565851"
"abril 2019","Nordeste","Área colhida (Hectares)","3305482"
"abril 2019","Nordeste","Produção (Toneladas)","10153151"
"abril 2019","Sudeste","Área colhida (Hectares)","2607308"
"abril 2019","Sudeste","Produção (Toneladas)","8255596"
"abril 2019","Sul","Área colhida (Hectares)","11873152"
"abril 2019","Sul","Produção (Toneladas)","37244967"
"abril 2019","Centro-Oeste","Área colhida (Hectares)","15973625"
"abril 2019","Centro-Oeste","Produção (Toneladas)","51385592"
"maio 2019","Brasil","Área colhida (Hectares)","35605440"
"maio 2019","Brasil","Produção (Toneladas)","112474505"
"maio 2019","Norte","Área colhida (Hectares)","1818280"
"maio 2019","Norte","Produção (Toneladas)","5563851"
"maio 2019","Nordeste","Área colhida (Hectares)","3305799"
"maio 2019","Nordeste","Produção (Toneladas)","10128939"
"maio 2019","Sudeste","Área colhida (Hectares)","2607308"
"maio 2019","Sudeste","Produção (Toneladas)","8255016"
"maio 2019","Sul","Área colhida (Hectares)","11894534"
"maio 2019","Sul","Produção (Toneladas)","37055228"
"maio 2019","Centro-Oeste","Área colhida (Hectares)","15979519"
"maio 2019","Centro-Oeste","Produção (Toneladas)","51471471"
"junho 2019","Brasil","Área colhida (Hectares)","35657852"
"junho 2019","Brasil","Produção (Toneladas)","112546649"
"junho 2019","Norte","Área colhida (Hectares)","1853040"
"junho 2019","Norte","Produção (Toneladas)","5654445"
"junho 2019","Nordeste","Área colhida (Hectares)","3307999"
