"Tabela 6588 - Série histórica da estimativa anual da área plantada, área colhida, produção e rendimento médio dos produtos das lavouras"
"Mês","Brasil e Grande Região","Variável","Valor"
"abril 2008","Brasil","Área colhida (Hectares)","21197060"
"abril 2008","Brasil","Produção (Toneladas)","59457662"
"abril 2008","Norte","Área colhida (Hectares)","479273"
"abril 2008","Norte","Produção (Toneladas)","1370417"
"abril 2008","Nordeste","Área colhida (Hectares)","1570070"
"abril 2008","Nordeste","Produção (Toneladas)","4397834"
"abril 2008","Sudeste","Área colhida (Hectares)","1389907"
"abril 2008","Sudeste","Produção (Toneladas)","3947396"
"abril 2008","Sul","Área colhida (Hectares)","8142763"
"abril 2008","Sul","Produção (Toneladas)","20669840"
"abril 2008","Centro-Oeste","Área colhida (Hectares)","9615047"
"abril 2008","Centro-Oeste","Produção (Toneladas)","29072175"
"maio 2008","Brasil","Área colhida (Hectares)","21212110"
"maio 2008","Brasil","Produção (Toneladas)","59841925"
"maio 2008","Norte","Área colhida (Hectares)","490843"
"maio 2008","Norte","Produção (Toneladas)","1363336"
"maio 2008","Nordeste","Área colhida (Hectares)","1576555"
"maio 2008","Nordeste","Produção (Toneladas)","4771989"
"maio 2008","Sudeste","Área colhida (Hectares)","1387312"
"maio 2008","Sudeste","Produção (Toneladas)","3992019"
"maio 2008","Sul","Área colhida (Hectares)","8142353"
"maio 2008","Sul","Produção (Toneladas)","20642406"
"maio 2008","Centro-Oeste","Área colhida (Hectares)","9615047"
"maio 2008","Centro-Oeste","Produção (Toneladas)","29072175"
"junho 2008","Brasil","Área colhida (Hectares)","21218730"
"junho 2008","Brasil","Produção (Toneladas)","59807588"
"junho 2008","Norte","Área colhida (Hectares)","490843"
"junho 2008","Norte","Produção (Toneladas)","1363336"
"junho 2008","Nordeste","Área colhida (Hectares)","1579745"
"junho 2008","Nordeste","Produção (Toneladas)","4834203"
"junho 2008","Sudeste","Área colhida (Hectares)","1390182"
"junho 2008","Sudeste","Produção (Toneladas)","4001216"
"junho 2008","Sul","Área colhida (Hectares)","8141853"
"junho 2008","Sul","Produção (Toneladas)","20606860"
"junho 2008","Centro-Oeste","Área colhida (Hectares)","9616107"
"junho 2008","Centro-Oeste","Produção (Toneladas)","29001973"
"julho 2008","Brasil","Área colhida (Hectares)","21295246"
"julho 2008","Brasil","Produção (Toneladas)","60022331"
"julho 2008","Norte","Área colhida (Hectares)","485059"
"julho 2008","Norte","Produção (Toneladas)","1384514"
"julho 2008","Nordeste","Área colhida (Hectares)","1580054"
"julho 2008","Nordeste","Produção (Toneladas)","4831794"
"julho 2008","Sudeste","Área colhida (Hectares)","1391567"
"julho 2008","Sudeste","Produção (Toneladas)","3984390"
"julho 2008","Sul","Área colhida (Hectares)","8183193"
"julho 2008","Sul","Produção (Toneladas)","20616093"
"julho 2008","Centro-Oeste","Área colhida (Hectares)","9655373"
"julho 2008","Centro-Oeste","Produção (Toneladas)","29205540"
"agosto 2008","Brasil","Área colhida (Hectares)","21309995"
"agosto 2008","Brasil","Produção (Toneladas)","59995301"
"agosto 2008","Norte","Área colhida (Hectares)","498590"
"agosto 2008","Norte","Produção (Toneladas)","1415562"
"agosto 2008","Nordeste","Área colhida (Hectares)","1580054"
"agosto 2008","Nordeste","Produção (Toneladas)","4829452"
"agosto 2008","Sudeste","Área colhida (Hectares)","1391617"
"agosto 2008","Sudeste","Produção (Toneladas)","3983436"
"agosto 2008","Sul","Área colhida (Hectares)","8183551"
"agosto 2008","Sul","Produção (Toneladas)","20617001"
"agosto 2008","Centro-Oeste","Área colhida (Hectares)","9656183"
"agosto 2008","Centro-Oeste","Produção (Toneladas)","29149850"
"setembro 2008","Brasil","Área colhida (Hectares)","21276372"
"setembro 2008","Brasil","Produção (Toneladas)","59925421"
"setembro 2008","Norte","Área colhida (Hectares)","498590"
"setembro 2008","Norte","Produção (Toneladas)","1415562"
"setembro 2008","Nordeste","Área colhida (Hectares)","1580054"
"setembro 2008","Nordeste","Produção (Toneladas)","4829452"
"setembro 2008","Sudeste","Área colhida (Hectares)","1391622"
"setembro 2008","Sudeste","Produção (Toneladas)","3984530"
"setembro 2008","Sul","Área colhida (Hectares)","8183551"
"setembro 2008","Sul","Produção (Toneladas)","20617001"
"setembro 2008","Centro-Oeste","Área colhida (Hectares)","9622555"
"setembro 2008","Centro-Oeste","Produção (Toneladas)","29078876"
"outubro 2008","Brasil","Área colhida (Hectares)","21276372"
"outubro 2008","Brasil","Produção (Toneladas)","59923621"
"outubro 2008","Norte","Área colhida (Hectares)","498590"
"outubro 2008","Norte","Produção (Toneladas)","1415562"
"outubro 2008","Nordeste","Área colhida (Hectares)","1580054"
"outubro 2008","Nordeste","Produção (Toneladas)","4829452"
"outubro 2008","Sudeste","Área colhida (Hectares)","1391622"
"outubro 2008","Sudeste","Produção (Toneladas)","3982730"
"outubro 2008","Sul","Área colhida (Hectares)","8183551"
"outubro 2008","Sul","Produção (Toneladas)","20617001"
"outubro 2008","Centro-Oeste","Área colhida (Hectares)","9622555"
"outubro 2008","Centro-Oeste","Produção (Toneladas)","29078876"
"novembro 2008","Brasil","Área colhida (Hectares)","21272244"
"novembro 2008","Brasil","Produção (Toneladas)","59920262"
"novembro 2008","Norte","Área colhida (Hectares)","494462"
"novembro 2008","Norte","Produção (Toneladas)","1412203"
"novembro 2008","Nordeste","Área colhida (Hectares)","1580054"
"novembro 2008","Nordeste","Produção (Toneladas)","4829452"
"novembro 2008","Sudeste","Área colhida (Hectares)","1391622"
"novembro 2008","Sudeste","Produção (Toneladas)","3982730"
"novembro 2008","Sul","Área colhida (Hectares)","8183551"
"novembro 2008","Sul","Produção (Toneladas)","20617001"
"novembro 2008","Centro-Oeste","Área colhida (Hectares)","9622555"
"novembro 2008","Centro-Oeste","Produção (Toneladas)","29078876"
"dezembro 2008","Brasil","Área colhida (Hectares)","21272244"
"dezembro 2008","Brasil","Produção (Toneladas)","59920262"
"dezembro 2008","Norte","Área colhida (Hectares)","494462"
"dezembro 2008","Norte","Produção (Toneladas)","1412203"
"dezembro 2008","Nordeste","Área colhida (Hectares)","1580054"
"dezembro 2008","Nordeste","Produção (Toneladas)","4829452"
"dezembro 2008","Sudeste","Área colhida (Hectares)","1391622"
"dezembro 2008","Sudeste","Produção (Toneladas)","3982730"
"dezembro 2008","Sul","Área colhida (Hectares)","8183551"
"dezembro 2008","Sul","Produção (Toneladas)","20617001"
"dezembro 2008","Centro-Oeste","Área colhida (Hectares)","9622555"
"dezembro 2008","Centro-Oeste","Produção (Toneladas)","29078876"
